Institution, Location, Rating, Score, Valid Through, Liaison, Submitted, Sustainability Rep, Reusable Keyword?, Number of Past Reports, Dates of Past Reports
Southern Oregon University,"Ashland, OR, US",Silver - expired,56.15,"Feb. 28, 2022",Rebecca Walker,"March 1, 2019",Roxane Beigel-Coryell,True,4,"March 1, 2019 - Feb. 28, 2022; June 30, 2017 - Dec. 26, 2020; Feb. 6, 2014 - Feb. 5, 2017; Aug. 15, 2011 - Aug. 14, 2014"
University of Oregon,"Eugene, OR, US",Gold,65.90,"March 6, 2023",Steve Mital,"March 6, 2020",Tom Driscoll,True,4,"March 6, 2020 - March 6, 2023; May 18, 2017 - Nov. 13, 2020; Feb. 28, 2014 - Feb. 27, 2017; Feb. 25, 2011 - Feb. 24, 2014"
Bryn Mawr College,"Bryn Mawr, PA, US",Silver - expired,45.17,"Dec. 25, 2020",Nina Bisbee,"June 29, 2017",,False,0,
Bucknell University,"Lewisburg, PA, US",Gold,65.59,"Sept. 22, 2022",Victor Udo,"Sept. 23, 2019",,False,2,"Sept. 23, 2019 - Sept. 22, 2022; Sept. 16, 2014 - Sept. 15, 2017"
Carnegie Mellon University,"Pittsburgh, PA, US",Gold,75.63,"Jan. 31, 2025",Deborah Steinberg,"Dec. 6, 2021",Justin Goel,True,5,"Dec. 6, 2021 - Jan. 31, 2025; Feb. 7, 2019 - Feb. 6, 2022; Feb. 27, 2015 - Feb. 26, 2018; Feb. 18, 2013 - Feb. 18, 2016; Aug. 1, 2011 - July 31, 2014"
Chatham University,"Pittsburgh, PA, US",Gold - expired,81.34,"Nov. 25, 2021",Mary Whitney,"Nov. 26, 2018",Mary Whitney,True,3,"Nov. 26, 2018 - Nov. 25, 2021; Sept. 22, 2015 - Sept. 21, 2018; Sept. 25, 2012 - Sept. 25, 2015"
Dickinson College,"Carlisle, PA, US",Gold,79.98,"April 11, 2024",Lindsey Lyons,"March 5, 2021",Lindsey Lyons,True,5,"March 5, 2021 - April 11, 2024; March 1, 2018 - Aug. 27, 2021; April 30, 2015 - April 29, 2018; April 30, 2012 - April 30, 2015; June 13, 2011 - June 12, 2014"
Drexel University,"Philadelphia, PA, US",Bronze,33.30,"June 16, 2024",Bo Solomon,"March 31, 2021",Bo Solomon,True,0,
Duquesne University,"Pittsburgh, PA, US",Silver,47.82,"April 5, 2025",John Stolz,"March 4, 2022",Gabriella Zuccolotto,True,4,"March 4, 2022 - April 5, 2025; March 5, 2021 - April 11, 2024; March 4, 2020 - March 4, 2023; Feb. 28, 2019 - Feb. 27, 2022"
Gettysburg College,"Gettysburg, PA, US",Silver - expired,60.18,"March 7, 2019",James Biesecker,"March 7, 2016",,False,2,"March 7, 2016 - March 7, 2019; Dec. 1, 2011 - Nov. 30, 2014"
Harrisburg Area Community College,"Harrisburg, PA, US",Bronze - expired,36.18,"July 18, 2015",Julia Knight,"July 18, 2012",,False,0,
Haverford College,"Haverford, PA, US",Silver,54.47,"May 12, 2024",Claudia Kent,"June 29, 2020",Tom Mitchell,True,4,"June 29, 2020 - May 12, 2024; June 30, 2017 - Dec. 26, 2020; June 11, 2014 - June 10, 2017; July 28, 2011 - July 27, 2014"
Juniata College,"Huntingdon, PA, US",Bronze - expired,25.19,"May 13, 2018",Robert Yelnosky,"May 14, 2015",,False,0,
Lafayette College,"Easton, PA, US",Silver,52.36,"March 3, 2023",Delicia Nahman,"March 3, 2020",Christopher Brown,True,2,"March 3, 2020 - March 3, 2023; March 10, 2016 - March 10, 2019"
Lebanon Valley College,"Annville, PA, US",Bronze,42.78,"May 19, 2022",Michael Mumper,"May 20, 2019",Michael Zeigler,True,2,"May 20, 2019 - May 19, 2022; Feb. 27, 2019 - Feb. 26, 2022"
Lehigh University,"Bethlehem, PA, US",Gold,72.75,"March 29, 2025",Katharine Gross,"Feb. 16, 2022",Lauren Sleeger,True,8,"Feb. 16, 2022 - March 29, 2025; Feb. 26, 2021 - April 11, 2024; Feb. 28, 2020 - Feb. 27, 2023; March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021; Nov. 16, 2017 - May 14, 2021; July 13, 2016 - July 13, 2019; July 10, 2015 - July 9, 2018"
Messiah University,"Mechanicsburg, PA, US",Bronze,38.77,"May 18, 2024",Brandon Hoover,"Feb. 22, 2021",Brandon Hoover,True,2,"Feb. 22, 2021 - May 18, 2024; Aug. 31, 2017 - Feb. 26, 2021"
Muhlenberg College,"Allentown, PA, US",Gold - expired,68.84,"Dec. 2, 2021",Morgan Tietz,"June 6, 2018",Peter Stark,True,4,"June 6, 2018 - Dec. 2, 2021; June 16, 2016 - June 16, 2019; June 9, 2015 - June 8, 2018; June 25, 2013 - June 24, 2016"
"Penn State Erie, The Behrend College","Erie, PA, US",Bronze,40.97,"Aug. 14, 2023",Sherri Mason,"June 30, 2020",Michael Lidner,True,0,
Pennsylvania State University,"University Park, PA, US",Gold,74.49,"Jan. 25, 2024",Krista Bailey,"Dec. 17, 2020",David Cullmer,True,4,"Dec. 17, 2020 - Jan. 25, 2024; Sept. 14, 2017 - March 12, 2021; Oct. 20, 2014 - Oct. 19, 2017; July 29, 2011 - July 28, 2014"
Slippery Rock University,"Slippery Rock, PA, US",Silver - expired,55.24,"Feb. 21, 2022",Paul Scanlon,"Feb. 22, 2019",Joe Balaban,True,5,"Feb. 22, 2019 - Feb. 21, 2022; Feb. 29, 2016 - Feb. 28, 2019; Feb. 28, 2014 - Feb. 27, 2017; Aug. 23, 2012 - Aug. 23, 2015; July 27, 2011 - July 26, 2014"
Susquehanna University,"Selinsgrove, PA, US",Silver,56.08,"Sept. 25, 2023",Katherine Straub,"Aug. 21, 2020",Derek Martin,True,2,"Aug. 21, 2020 - Sept. 25, 2023; Feb. 21, 2018 - Aug. 19, 2021"
Swarthmore College,"Swarthmore, PA, US",Silver,60.69,"March 6, 2023",Elizabeth Drake,"March 6, 2020",Aurora Winslade,True,4,"March 6, 2020 - March 6, 2023; April 19, 2017 - Oct. 15, 2020; June 29, 2012 - June 29, 2015; April 14, 2011 - April 13, 2014"
Temple University,"Philadelphia, PA, US",Silver,47.82,"Feb. 3, 2024",Rebecca Collins,"Dec. 10, 2020",Rebecca Collins,True,3,"Dec. 10, 2020 - Feb. 3, 2024; Feb. 21, 2018 - Aug. 19, 2021; July 31, 2015 - July 30, 2018"
University of Pennsylvania,"Philadelphia, PA, US",Gold,66.31,"Oct. 28, 2024",Natalie Walker,"Aug. 9, 2021",Natalie Walker,True,3,"Aug. 9, 2021 - Oct. 28, 2024; Feb. 21, 2018 - Aug. 19, 2021; May 1, 2014 - April 30, 2017"
University of Pittsburgh,"Pittsburgh, PA, US",Gold,66.51,"April 11, 2024",Aurora Sharrard,"Feb. 28, 2021",Nick Goodfellow,True,2,"Feb. 28, 2021 - April 11, 2024; Feb. 28, 2018 - Aug. 26, 2021"
Villanova University,"Villanova, PA, US",Silver,55.86,"Nov. 7, 2024",Liesel Schwarz,"Sept. 16, 2021",Liesel Schwarz,True,3,"Sept. 16, 2021 - Nov. 7, 2024; March 27, 2018 - Sept. 22, 2021; Nov. 25, 2014 - Nov. 24, 2017"
West Chester University of Pennsylvania,"West Chester, PA, US",Silver,55.44,"April 12, 2025",Bradley Flamm,"March 4, 2022",Bradley Flamm,True,5,"March 4, 2022 - April 12, 2025; March 6, 2020 - March 6, 2023; March 1, 2019 - Feb. 28, 2022; March 30, 2018 - Sept. 25, 2021; July 31, 2012 - July 31, 2015"
Bryant University,"Smithfield, RI, US",Silver,52.53,"June 5, 2022",Andrew DeMelia,"June 6, 2019",Shawn Monaghan,True,4,"June 6, 2019 - June 5, 2022; July 5, 2016 - July 5, 2019; Oct. 24, 2013 - Oct. 23, 2016; Aug. 15, 2012 - Aug. 15, 2015"
Clemson University,"Clemson, SC, US",Silver - expired,53.85,"Nov. 25, 2021",Vic Shelburne,"Nov. 26, 2018",Stuart Moore,True,0,
Coastal Carolina University,"Conway, SC, US",Silver,58.21,"Feb. 24, 2025",Darcy Coughlan,"Dec. 20, 2021",Darcy Coughlan,True,2,"Dec. 20, 2021 - Feb. 24, 2025; Nov. 24, 2015 - Nov. 23, 2018"
College of Charleston,"Charleston, SC, US",Silver,55.42,"Feb. 17, 2023",Darcy Everett,"Feb. 18, 2020",P Brian Fisher,True,0,
Furman University,"Greenville, SC, US",Gold,77.02,"Sept. 6, 2024",Laura Bain,"June 22, 2021",Laura Bain,True,5,"June 22, 2021 - Sept. 6, 2024; Jan. 19, 2018 - July 17, 2021; Jan. 26, 2015 - Jan. 25, 2018; Jan. 31, 2013 - Jan. 31, 2016; Jan. 31, 2011 - Jan. 30, 2014"
University of South Carolina,"Columbia, SC, US",Silver,45.79,"May 17, 2024",Larry Cook,"Dec. 4, 2020",Scott Warner,True,3,"Dec. 4, 2020 - May 17, 2024; Feb. 29, 2016 - Feb. 28, 2019; Feb. 13, 2012 - Feb. 12, 2015"
Black Hills State University,"Spearfish, SD, US",Silver,53.00,"July 31, 2023",Kathy Johnson,"April 21, 2020",Deborah Liddick,True,3,"April 21, 2020 - July 31, 2023; April 21, 2017 - Oct. 17, 2020; April 22, 2014 - April 21, 2017"
South Dakota State University,"Brookings, SD, US",Silver,55.78,"Dec. 8, 2022",Jennifer McLaughlin,"Dec. 9, 2019",Jennifer McLaughlin,True,2,"Dec. 9, 2019 - Dec. 8, 2022; March 31, 2016 - March 31, 2019"
Austin Peay State University,"Clarksville, TN, US",Reporter,,"May 29, 2022",Olivia Herron,"May 30, 2019",Cecil Wilson,False,0,
Belmont University,"Nashville, TN, US",Gold - expired,66.60,"Feb. 25, 2022",Mary Lucus,"Feb. 26, 2019",Keith Chapman,True,3,"Feb. 26, 2019 - Feb. 25, 2022; March 14, 2016 - March 14, 2019; March 20, 2015 - March 19, 2018"
East Tennessee State University,"Johnson City, TN, US",Bronze - expired,40.95,"Aug. 21, 2014",Kathleen Moore,"Aug. 22, 2011",,False,0,
Maryville College,"Maryville, TN, US",Silver - expired,49.84,"Feb. 11, 2019",Adrienne Schwarte,"Feb. 12, 2016",,False,2,"Feb. 12, 2016 - Feb. 11, 2019; Jan. 18, 2012 - Jan. 17, 2015"
Sewanee - The University of the South,"Sewanee, TN, US",Silver - expired,53.15,"Dec. 19, 2021",Nick Cookson,"Dec. 20, 2018",rick wright,True,3,"Dec. 20, 2018 - Dec. 19, 2021; Jan. 20, 2016 - Jan. 19, 2019; June 20, 2013 - June 19, 2016"
Tennessee Technological University,"Cookeville, TN, US",Silver,53.09,"Dec. 17, 2022",DeLayne Miller,"Dec. 18, 2019",DeLayne Miller,True,2,"Dec. 18, 2019 - Dec. 17, 2022; June 30, 2017 - Dec. 26, 2020"
University of Tennessee at Knoxville,"Knoxville, TN, US",Silver,57.98,"March 6, 2023",Jay Price,"March 6, 2020",Jay Price,True,5,"March 6, 2020 - March 6, 2023; March 2, 2018 - Aug. 28, 2021; April 3, 2017 - Sept. 29, 2020; March 2, 2016 - March 2, 2019; Oct. 12, 2011 - Oct. 11, 2014"
Vanderbilt University,"Nashville, TN, US",Reporter,,"March 21, 2025",Chelsea Hamilton,"March 4, 2022",Chelsea Hamilton,True,4,"March 4, 2022 - March 21, 2025; March 5, 2021 - March 7, 2024; March 5, 2020 - March 5, 2023; March 1, 2019 - Feb. 28, 2022"
Austin College,"Sherman, TX, US",Bronze - expired,30.79,"Aug. 28, 2021",Rebecca Jones,"March 2, 2018",Kelby Archer,True,2,"March 2, 2018 - Aug. 28, 2021; Feb. 29, 2016 - Feb. 28, 2019"
Baylor University,"Waco, TX, US",Silver - expired,48.20,"Feb. 29, 2020",Smith Getterman,"March 1, 2017",Smith Getterman,True,4,"March 1, 2017 - Feb. 29, 2020; Feb. 26, 2016 - Feb. 25, 2019; March 12, 2015 - March 11, 2018; Oct. 11, 2012 - Oct. 11, 2015"
Dallas College,"Dallas, TX, US",Silver,53.56,"March 8, 2025",Georgeann Moss,"Dec. 22, 2021",Brandon Morton,True,0,
El Centro College - DCCCD,"Dallas, TX, US",Reporter - expired,,"Dec. 18, 2014",Bryan Reece,"Dec. 19, 2011",,False,0,
Rice University,"Houston, TX, US",Gold - expired,70.76,"April 10, 2021",Richard Johnson,"Oct. 13, 2017",Richard Johnson,True,3,"Oct. 13, 2017 - April 10, 2021; Nov. 11, 2014 - Nov. 10, 2017; Aug. 2, 2011 - Aug. 1, 2014"
Richland College - DCCCD,"Dallas, TX, US",Silver - expired,50.68,"Aug. 1, 2014",Jerry Owens,"Aug. 2, 2011",,False,0,
Southwestern University,"Georgetown, TX, US",Gold,67.27,"Feb. 22, 2025",Veronica Johnson,"Jan. 14, 2022",Andy Bonczyka,True,3,"Jan. 14, 2022 - Feb. 22, 2025; May 10, 2018 - Nov. 5, 2021; May 28, 2015 - May 27, 2018"
Tarleton State University,"Stephenville, TX, US",Bronze - expired,26.15,"Dec. 22, 2020",Hector Davis,"June 26, 2017",,False,0,
Texas A&M University,"College Station, TX, US",Gold,69.70,"Feb. 17, 2025",Kelly Wellman,"Dec. 2, 2021",Stephanie Denson,True,8,"Dec. 2, 2021 - Feb. 17, 2025; Dec. 11, 2020 - Feb. 5, 2024; Dec. 19, 2019 - Dec. 18, 2022; Dec. 28, 2018 - Dec. 27, 2021; Dec. 6, 2017 - June 3, 2021; Dec. 20, 2016 - Dec. 20, 2019; Jan. 23, 2015 - Jan. 22, 2018; Feb. 14, 2012 - Feb. 13, 2015"
"Texas State University, San Marcos","San Marcos, TX, US",Bronze,38.83,"Dec. 15, 2022",James Vollrath,"Dec. 16, 2019",James Vollrath,True,0,
Texas Tech University,"Lubbock, TX, US",Bronze,43.72,"April 5, 2025",Carey Hewett,"March 1, 2022",Jessica Bunyard,True,6,"March 1, 2022 - April 5, 2025; Feb. 26, 2021 - March 24, 2024; Feb. 28, 2020 - Feb. 27, 2023; March 1, 2019 - Feb. 28, 2022; Feb. 28, 2018 - Aug. 26, 2021; March 3, 2017 - Aug. 29, 2020"
The University of Texas at Dallas,"Richardson, TX, US",Gold,65.21,"Sept. 10, 2022",Gary Cocke,"Sept. 11, 2019",Gary Cocke,True,2,"Sept. 11, 2019 - Sept. 10, 2022; June 13, 2016 - June 13, 2019"
University of Houston,"Houston, TX, US",Gold - expired,68.81,"Jan. 3, 2022",Christa Rieck,"Jan. 4, 2019",Melissa Halstead,True,3,"Jan. 4, 2019 - Jan. 3, 2022; Nov. 23, 2015 - Nov. 22, 2018; Feb. 3, 2011 - Feb. 2, 2014"
University of North Texas,"Denton, TX, US",Silver - expired,53.64,"May 13, 2017",William Cocke,"May 14, 2014",,False,2,"May 14, 2014 - May 13, 2017; Jan. 26, 2012 - Jan. 25, 2015"
University of Texas Rio Grande Valley,"Edinburg, TX, US",Gold - expired,66.66,"March 18, 2021",Marianella Franklin,"Sept. 20, 2017",Gilbert Garza,True,2,"Sept. 20, 2017 - March 18, 2021; Aug. 28, 2015 - Aug. 27, 2018"
University of Texas at Arlington,"Arlington, TX, US",Silver - expired,45.27,"July 12, 2019",Meghna Tare,"July 12, 2016",,False,3,"July 12, 2016 - July 12, 2019; Feb. 1, 2013 - Feb. 1, 2016; Jan. 27, 2011 - Jan. 26, 2014"
University of Texas at Austin,"Austin, TX, US",Gold,65.54,"March 2, 2023",Jim Walker,"March 2, 2020",Neil Kaufman,True,5,"March 2, 2020 - March 2, 2023; June 14, 2018 - Dec. 10, 2021; March 21, 2016 - March 21, 2019; April 30, 2014 - April 29, 2017; Jan. 31, 2011 - Jan. 30, 2014"
University of Texas at El Paso,"El Paso, TX, US",Bronze - expired,32.74,"April 29, 2019",William Hargrove,"April 29, 2016",,False,0,
University of Texas at San Antonio,"San Antonio, TX, US",Silver,45.22,"Dec. 3, 2023",Mei May,"Nov. 27, 2019",Mei L May,True,2,"Nov. 27, 2019 - Dec. 3, 2023; Jan. 26, 2012 - Jan. 25, 2015"
University of Utah,"Salt Lake City, UT, US",Gold,65.48,"Jan. 13, 2024",Amy Brunvand,"Oct. 21, 2020",Jessica Kemper,True,3,"Oct. 21, 2020 - Jan. 13, 2024; April 5, 2017 - Oct. 1, 2020; Aug. 11, 2011 - Aug. 10, 2014"
Utah State University,"Logan, UT, US",Silver,54.70,"Oct. 30, 2022",Alexi Lamm,"Oct. 31, 2019",Bryant Oxborrow,True,3,"Oct. 31, 2019 - Oct. 30, 2022; Nov. 1, 2016 - Nov. 1, 2019; Oct. 22, 2013 - Oct. 21, 2016"
Weber State University,"Ogden, UT, US",Silver - expired,49.65,"Feb. 18, 2022",Jennifer Bodine,"Feb. 19, 2019",Hailey Burton,True,3,"Feb. 19, 2019 - Feb. 18, 2022; April 23, 2015 - April 22, 2018; Sept. 20, 2011 - Sept. 19, 2014"
Westminster College - Utah,"Salt Lake City, UT, US",Silver,47.23,"Aug. 14, 2022",Keaton Schrank,"Aug. 15, 2019",Kerry Case,True,4,"Aug. 15, 2019 - Aug. 14, 2022; April 26, 2016 - April 26, 2019; June 12, 2014 - June 11, 2017; June 9, 2011 - June 8, 2014"
Bridgewater College,"Bridgewater, VA, US",Bronze - expired,35.62,"Sept. 16, 2016",Teshome Molalenge,"Sept. 17, 2013",,False,0,
College of William & Mary,"Williamsburg, VA, US",Silver - expired,48.37,"Dec. 20, 2019",Calandra Lake,"Dec. 20, 2016",Stephen Moyer,True,0,
Eastern Mennonite University,"Harrisonburg, VA, US",Silver - expired,51.92,"Jan. 21, 2021",Jonathan Lantz-Trissel,"July 26, 2017",Bruce Emmerson,True,2,"July 26, 2017 - Jan. 21, 2021; Jan. 22, 2014 - Jan. 21, 2017"
Ferrum College,"Ferrum, VA, US",Bronze - expired,33.89,"July 28, 2016",Chekka Lash,"July 29, 2013",,False,0,
George Mason University,"Fairfax, VA, US",Gold,65.15,"Feb. 19, 2024",Greg Farley,"Jan. 8, 2021",Amber Saxton,True,4,"Jan. 8, 2021 - Feb. 19, 2024; Sept. 1, 2017 - Feb. 27, 2021; Sept. 9, 2014 - Sept. 8, 2017; Aug. 9, 2011 - Aug. 8, 2014"
James Madison University,"Harrisonburg, VA, US",Silver,62.34,"March 3, 2025",Christie-Joy Hartman,"Jan. 27, 2022",Benjamin Rosenberger,True,4,"Jan. 27, 2022 - March 3, 2025; Dec. 21, 2018 - Dec. 20, 2021; May 12, 2017 - Nov. 7, 2020; Dec. 23, 2013 - Dec. 22, 2016"
Old Dominion University,"Norfolk, VA, US",Reporter - expired,,"July 13, 2018",Douglas Alexander,"July 14, 2015",,False,0,
Radford University,"Radford, VA, US",Silver,50.18,"May 20, 2022",Josh Nease,"May 21, 2019",Josh Nease,True,0,
Randolph College,"Lynchburg, VA, US",Reporter,,"Sept. 12, 2022",Riley Lorson,"Sept. 13, 2019",Allison Brooks,True,0,
University of Richmond,"University of Richmond, VA, US",Gold - expired,65.64,"Feb. 28, 2022",Rob Andrejewski,"March 1, 2019",Rob Andrejewski,True,3,"March 1, 2019 - Feb. 28, 2022; Feb. 15, 2016 - Feb. 14, 2019; Feb. 18, 2013 - Feb. 18, 2016"
University of Virginia,"Charlottesville, VA, US",Gold,67.15,"April 29, 2024",Andrea Trimble,"March 4, 2021",Caroline Baloga,True,4,"March 4, 2021 - April 29, 2024; March 1, 2018 - Aug. 27, 2021; May 29, 2015 - May 28, 2018; Feb. 15, 2012 - Feb. 14, 2015"
Virginia Commonwealth University,"Richmond, VA, US",Gold,66.40,"Nov. 29, 2024",Parker Long,"Aug. 27, 2021",Parker Long,True,4,"Aug. 27, 2021 - Nov. 29, 2024; March 2, 2018 - Aug. 28, 2021; July 24, 2015 - July 23, 2018; July 25, 2012 - July 25, 2015"
Virginia Tech,"Blacksburg, VA, US",Gold,72.78,"March 18, 2024",Dennis Cochrane,"Feb. 18, 2021",Blake Bensman,True,5,"Feb. 18, 2021 - March 18, 2024; Dec. 19, 2017 - June 16, 2021; Oct. 15, 2014 - Oct. 14, 2017; March 19, 2013 - March 18, 2016; Aug. 2, 2011 - Aug. 1, 2014"
Virginia Theological Seminary,"Alexandria, VA, US",Reporter - expired,,"Nov. 14, 2021",James Norman,"Nov. 15, 2018",James Norman,True,0,
Washington and Lee University,"Lexington, VA, US",Silver,55.10,"March 6, 2023",Jane Stewart,"March 6, 2020",Nicole Poulin,True,3,"March 6, 2020 - March 6, 2023; March 3, 2017 - Aug. 29, 2020; June 24, 2011 - June 23, 2014"
Bennington College,"Bennington, VT, US",Gold,66.76,"Sept. 22, 2024",Holly Andersen,"May 13, 2021",,False,2,"May 13, 2021 - Sept. 22, 2024; Jan. 26, 2021 - March 29, 2024"
Champlain College,"Burlington, VT, US",Silver,56.93,"May 8, 2022",Christina Erickson,"May 9, 2019",Jon Barzensky,True,2,"May 9, 2019 - May 8, 2022; June 6, 2016 - June 6, 2019"
Green Mountain College,"Poultney, VT, US",Gold - expired,81.82,"Aug. 21, 2021",Ryan Ihrke,"Feb. 23, 2018",Ryan Ihrke,True,3,"Feb. 23, 2018 - Aug. 21, 2021; Oct. 17, 2014 - Oct. 16, 2017; July 29, 2011 - July 28, 2014"
Middlebury College,"Middlebury, VT, US",Gold - expired,77.55,"Dec. 5, 2020",Jack Byrne,"June 9, 2017",,False,3,"June 9, 2017 - Dec. 5, 2020; May 1, 2014 - April 30, 2017; Jan. 31, 2011 - Jan. 30, 2014"
Saint Michael's College,"Colchester, VT, US",Silver,55.74,"July 5, 2024",Kristyn Achilich,"May 11, 2021",Kristyn Achilich,True,2,"May 11, 2021 - July 5, 2024; Oct. 4, 2017 - April 1, 2021"
Sterling College (VT),"Craftsbury Common, VT, US",Gold,75.15,"May 9, 2024",Christina Goodwin,"March 5, 2021",,False,4,"March 5, 2021 - May 9, 2024; Jan. 26, 2017 - Jan. 26, 2020; Jan. 28, 2016 - Jan. 27, 2019; Feb. 17, 2015 - Feb. 16, 2018"
University of Vermont,"Burlington, VT, US",Gold,74.80,"March 2, 2023",Gioia Thompson,"March 2, 2020",Marissa Watsson,True,3,"March 2, 2020 - March 2, 2023; March 1, 2017 - Feb. 29, 2020; March 19, 2014 - March 18, 2017"
Bellevue College,"Bellevue, WA, US",Silver - expired,45.70,"June 30, 2016",Office of Sustainability,"July 1, 2013",,False,0,
Cascadia College,"Bothell, WA, US",Silver,52.81,"Jan. 2, 2025",Stephan Classen,"Oct. 14, 2021",Stephan Classen,False,2,"Oct. 14, 2021 - Jan. 2, 2025; March 6, 2018 - Sept. 1, 2021"
Central Washington University,"Ellensburg, WA, US",Bronze,34.50,"July 16, 2022",Kathleen Klaniecki,"July 17, 2019",Nick Caesar,True,0,
Edmonds Community College,"Lynnwood, WA, US",Silver - expired,45.97,"Jan. 16, 2016",Alison Pugh,"Jan. 16, 2013",,False,0,
"Evergreen State College, The","Olympia, WA, US",Silver,61.30,"Aug. 29, 2022",Scott Morgan,"Aug. 30, 2019",Scott Morgan,True,2,"Aug. 30, 2019 - Aug. 29, 2022; July 25, 2011 - July 24, 2014"
Gonzaga University,"Spokane, WA, US",Gold,68.43,"Nov. 12, 2023",Jim Simon,"Sept. 23, 2020",Pat Clelland,True,2,"Sept. 23, 2020 - Nov. 12, 2023; June 28, 2017 - Dec. 24, 2020"
North Seattle College,"Seattle, WA, US",Silver,60.56,"Dec. 9, 2024",Mari Acob-Nash,"Oct. 30, 2021",Adam Maurer,False,4,"Oct. 30, 2021 - Dec. 9, 2024; Dec. 14, 2017 - June 11, 2021; Sept. 5, 2013 - Sept. 4, 2016; Aug. 1, 2011 - July 31, 2014"
Pacific Lutheran University,"Tacoma, WA, US",Gold - expired,67.40,"March 11, 2016",Saiyare Refaei,"March 12, 2013",,False,2,"March 12, 2013 - March 11, 2016; Sept. 13, 2010 - Sept. 12, 2013"
Seattle Central College,"Seattle, WA, US",Silver,49.64,"June 14, 2024",Adam Maurer,"March 31, 2021",Adam Maurer,True,3,"March 31, 2021 - June 14, 2024; Dec. 18, 2017 - June 15, 2021; Feb. 4, 2014 - Feb. 3, 2017"
Seattle University,"Seattle, WA, US",Gold,79.39,"May 11, 2024",Yolanda Cieters,"March 5, 2021",Yolanda Cieters,True,3,"March 5, 2021 - May 11, 2024; March 2, 2018 - Aug. 28, 2021; Feb. 22, 2016 - Feb. 21, 2019"
Shoreline Community College,"Shoreline, WA, US",Bronze - expired,26.74,"July 19, 2014",Paul Barton,"July 20, 2011",,False,0,
South Seattle College,"Seattle, WA, US",Silver,51.07,"June 14, 2024",Adam Maurer,"March 31, 2021",Adam Maurer,True,3,"March 31, 2021 - June 14, 2024; Dec. 18, 2017 - June 15, 2021; Jan. 16, 2014 - Jan. 15, 2017"
University of Puget Sound,"Tacoma, WA, US",Gold - expired,68.77,"July 25, 2015",Lexi Brewer,"July 25, 2012",,False,0,
"University of Washington, Bothell","Bothell, WA, US",Gold,65.87,"April 3, 2025",Kristen Attebery,"Jan. 14, 2022",,False,0,
"University of Washington, Seattle","Seattle, WA, US",Gold,70.78,"March 17, 2025",Daimon Eklund,"Dec. 23, 2021",Amy Leyzerovsky,True,4,"Dec. 23, 2021 - March 17, 2025; Oct. 12, 2018 - Oct. 11, 2021; Oct. 14, 2015 - Oct. 13, 2018; Oct. 17, 2012 - Oct. 17, 2015"
Western Washington University,"Bellingham, WA, US",Silver - expired,60.52,"Feb. 28, 2022",Seth Vidana,"March 1, 2019",Steve Wadsworth,True,2,"March 1, 2019 - Feb. 28, 2022; Feb. 6, 2013 - Feb. 6, 2016"
Whatcom Community College,"Bellingham, WA, US",Bronze - expired,31.93,"May 1, 2021",Irena Lambrou,"Nov. 3, 2017",Tran Phung,True,0,
Whitman College,"Walla Walla, WA, US",Silver,53.78,"Feb. 6, 2023",Elissa Brown,"Feb. 7, 2020",Elissa Brown,True,2,"Feb. 7, 2020 - Feb. 6, 2023; Feb. 8, 2017 - Feb. 8, 2020"
Beloit College,"Beloit, WI, US",Silver - expired,49.63,"Nov. 14, 2020",Yaffa Grossman,"May 19, 2017",Lindsay Chapman,True,3,"May 19, 2017 - Nov. 14, 2020; March 16, 2016 - March 16, 2019; March 16, 2015 - March 15, 2018"
Lawrence University,"Appleton, WI, US",Silver,50.57,"Sept. 22, 2022",Kelsey McCormick,"Sept. 23, 2019",Jeff Clark,True,3,"Sept. 23, 2019 - Sept. 22, 2022; June 30, 2017 - Dec. 26, 2020; June 17, 2013 - June 16, 2016"
Marquette University,"Milwaukee, WI, US",Bronze,36.76,"Feb. 14, 2025",Chelsea Malacara,"Dec. 22, 2021",Chelsea Malacara,True,2,"Dec. 22, 2021 - Feb. 14, 2025; Feb. 13, 2013 - Feb. 13, 2016"
Northland College,"Ashland, WI, US",Gold,65.37,"May 9, 2024",Sherri Venero,"Feb. 26, 2021",Todd Rothe,True,3,"Feb. 26, 2021 - May 9, 2024; Feb. 26, 2018 - Aug. 24, 2021; July 30, 2011 - July 29, 2014"
University of Wisconsin-Green Bay,"Green Bay, WI, US",Silver - expired,45.05,"May 4, 2021",Daniela Beall,"Nov. 6, 2017",Rick Warpinski,True,3,"Nov. 6, 2017 - May 4, 2021; Sept. 29, 2014 - Sept. 28, 2017; Sept. 15, 2011 - Sept. 14, 2014"
University of Wisconsin-La Crosse,"La Crosse, WI, US",Silver - expired,54.65,"May 19, 2018",Kelly Nowicki,"May 20, 2015",,False,0,
University of Wisconsin-Madison,"Madison, WI, US",Silver,51.72,"July 31, 2022",Alex Frank,"Aug. 1, 2019",Alex Frank,True,0,
University of Wisconsin-Milwaukee,"Milwaukee, WI, US",Gold,66.65,"Nov. 26, 2022",John Gardner,"Nov. 27, 2019",John Gardner,True,3,"Nov. 27, 2019 - Nov. 26, 2022; May 31, 2016 - May 31, 2019; Aug. 1, 2013 - July 31, 2016"
